date,open,high,low,close,volume,marketCap
2018-02-19,3.69,4.15,3.62,3.95,108297,34058900
2018-02-18,4.34,4.34,3.66,3.7,150823,40037400
2018-02-17,4.08,4.38,4.01,4.31,185105,37708600
2018-02-16,4.06,4.19,3.87,4.13,149639,37459600
2018-02-15,3.86,4.3,3.7,4.04,157578,35618900
2018-02-14,3.05,5.52,3.05,3.73,385193,28162900
2018-02-13,3,3.19,2.83,3.03,111873,27695200
2018-02-12,2.24,3.12,2.23,3.01,198019,20673000
2018-02-11,2.35,2.39,2.12,2.25,76175,21665700
2018-02-10,2.19,2.64,2.19,2.39,152689,20226800
2018-02-09,2.34,2.35,2.09,2.19,168616,21567800
2018-02-08,2.42,2.81,2.26,2.34,211125,22272200
2018-02-07,5.54,5.54,2.14,2.46,792071,51017500
2018-02-06,4.31,5.59,3.72,5.58,302712,39655600
2018-02-05,5.49,5.64,4.18,4.29,194631,50518800
2018-02-04,6.55,6.63,5.26,5.54,309371,60272400
2018-02-03,6.7,6.91,6,6.51,317398,61616000
2018-02-02,8.91,8.93,5.55,6.69,692302,81947000
2018-02-01,8.59,13.14,8.51,8.89,5672460,79051200
2018-01-31,5.97,10.11,5.55,8.73,3657210,54933300
2018-01-30,7,7.05,5.75,6.01,883703,64358900
2018-01-29,8.27,8.35,7.01,7.01,1171150,76009800
2018-01-28,10.64,11.24,8.21,8.32,1950330,97814400
2018-01-27,11.17,11.29,10.48,10.53,994843,102654000
2018-01-26,12.57,12.92,10.59,11.18,1600520,115488000
2018-01-25,12.8,15.97,9.46,12.59,5376800,117579000
2018-01-24,15.94,15.94,12.5,13.26,2406960,146393000
2018-01-23,16.69,17.08,15.08,16.05,1771300,153213000
2018-01-22,18.08,19.2,15.64,16.76,2758110,165872000
2018-01-21,21.72,21.97,16.05,17.86,5865730,199200000
2018-01-20,29.33,30.98,21.76,21.81,7054180,268947000
2018-01-19,35.68,41.94,24.56,29.11,18658000,327092000
2018-01-18,23.84,82.43,22.79,37.68,57434000,187904000
2018-01-17,21.7,44.59,5.69,22.48,24796900,136694000
2018-01-16,255.91,331.06,19.28,19.28,5920560,1601140000
2018-01-15,290.84,304.5,240.19,256.07,2261840,1818670000
2018-01-14,318.31,321.25,281.03,293.36,4351920,1976960000
2018-01-13,322.83,328.83,313.9,318.02,14232700,2003960000
2018-01-12,300.1,328.78,289.78,322.98,23119700,1862040000
2018-01-11,324.83,328.61,281.29,302.19,27349500,2008750000
2018-01-10,353.65,353.65,311.02,327.27,25960000,2185870000
2018-01-09,360.25,371.85,343.2,353.23,22227900,2225580000
2018-01-08,375.03,382.83,335.59,361.85,19204000,2315860000
2018-01-07,449.02,449.02,372.9,376.96,21804900,2770550000
2018-01-06,402.66,451.29,394.01,449.47,24776400,2482510000
2018-01-05,428.6,429.67,397.46,402.82,36359800,2641470000
2018-01-04,450.46,451.06,409.01,428.53,24251600,2774750000
2018-01-03,428.23,447.77,419.69,447.53,27060700,2636180000
2018-01-02,385.47,429.82,366.95,428.6,25422700,2387210000
2018-01-01,420.98,445.46,376.74,385.5,27366000,2605740000
2017-12-31,380.71,431.38,377.47,418.96,21278700,2355660000
2017-12-30,461.94,462.06,369.15,384.56,26618900,2857050000
2017-12-29,413.53,470.86,407.81,463.31,41366100,2556520000
2017-12-28,420.53,479.3,372.94,409.57,60271900,2533780000
2017-12-27,397.43,476.4,342.22,421.6,65798100,2393430000
2017-12-26,219.87,427.11,216.66,397.87,89649200,1323500000
2017-12-25,244.16,244.16,216.11,220.01,18920000,1468910000
2017-12-24,291.72,291.72,224.09,241.63,14577700,1708250000
2017-12-23,292.51,314.15,286.95,288.51,15772600,1712400000
2017-12-22,341.75,344.77,244.23,289.79,22788300,1999910000
2017-12-21,363.26,381.93,330.41,340.55,19732800,1745220000
2017-12-20,387.11,393.7,348.98,362.78,18826800,1859370000
2017-12-19,430.55,456.14,374.84,387.42,23525300,2066800000
2017-12-18,428.94,476.62,409.93,430.04,26753200,2056020000
2017-12-17,457.7,509.99,425.81,427.71,21532200,2192630000
2017-12-16,400.71,461.08,395.56,457.47,26412700,1918270000
2017-12-15,373.81,403.65,373.79,396.08,32579600,1788160000
2017-12-14,365.37,383.02,360.52,373.44,13732500,1747280000
2017-12-13,388.2,394.73,355.94,366.3,28852100,1855820000
2017-12-12,380.65,399.23,371.33,387.75,27229000,1819050000
