id,cryptocurrency,platform,lossCrypto,lossUSD,date,typeOfAttack,source,,,,,,,headline,leadParagraph
a1,Bitcoin,,184 billion BTC,14700000000,2010-08-15,Hack (no losses in the end - should we remove this?),http://storeofvalueblog.com/posts/cryptocurrency-hacks-so-far-august-24th/,,,,,,,List Of High Profile Cryptocurrency Hacks So Far (August 24th 2017),"There’s been quite a few large, high profile cryptocurrency hacks over the past few years. Hundreds of millions of dollars have been stolen. Although blockchain technology is fundamentally more secure than centralized database systems, the ecosystem is still incredibly young and poor programming practices create many security vulnerabilities, especially with systems built around blockchains.
Here’s a list of some of the largest cryptocurrency hacks so far."
a2,Bitcoin,BitFloor,"24,000 BTC",160320,2012-06-01,Hack,https://www.theguardian.com/technology/2014/mar/18/history-of-bitcoin-hacks-alternative-currency,,,,,,,A history of bitcoin hacks,"The alternative currency has been plagued by hacks, ponzi schemes and increasingly professional thefts since 2011, explains Alex Hern"
a3,Bitcoin,MyBitcoin,"154,406 BTC",2000000,2011-08-08,Hack,http://observer.com/2011/08/mybitcoin-spokesman-finally-comes-forward-what-did-you-think-we-did-after-the-hack-we-got-shitfaced/,,,,,,,"MyBitcoin Spokesman Finally Comes Forward: ""What Did You think We Did After the Hack? We Got Shitfaced""","The popular Bitcoin transaction processor that disappeared from the internet about 10 days ago, taking at least tens of thousands of Bitcoins in user deposits with it, has been communicating via statements posted to the site. In essence: We screwed up. We were hacked. We have enough BTC to refund some of the lost Bitcoins, and then we’re done. “It appears to be human error combined with a misunderstanding of how Bitcoin secures transactions into the next block,” the most recent statement says by way of explanation."
a4,Bitcoin,Bitcoin7,5000 BTC,25150,2011-10-05,Hack*,https://news.bitcoin.com/bitcoin-exchange-thefts-forgotten/,,,,,,,The Bitcoin Exchange Thefts You May Have Forgotten,"Cryptocurrency exchange losses have been a nuisance since Bitcoin was first created. Many remember the loss of roughly 850,000 BTC in the demise of Mt Gox and the most recent 120,000 BTC Bitfinex compromise. However, over the course of the past eight years there has been various exchange hacks and/or inside jobs."
a5,Bitcoin,Bitcoinica,"46,700 BTC",228000,2012-03-01,Hacked,https://arstechnica.com/information-technology/2012/03/bitcoins-worth-228000-stolen-from-customers-of-hacked-webhost/,,,,,,,"Bitcoins worth $228,000 stolen from customers of hacked Webhost","Online bandits made off with at least $228,000 worth of the virtual currency known as Bitcoin after exploiting a vulnerability in a widely used Webhost that gave unfettered access to eight victim's digital wallets."
a6,Bitcoin,Bitcoinica,"38,000 BTC",186000,2012-05-12,Hacked,https://news.bitcoin.com/bitcoin-exchange-thefts-forgotten/,,,,,,,The Bitcoin Exchange Thefts You May Have Forgotten,"Cryptocurrency exchange losses have been a nuisance since Bitcoin was first created. Many remember the loss of roughly 850,000 BTC in the demise of Mt Gox and the most recent 120,000 BTC Bitfinex compromise. However, over the course of the past eight years there has been various exchange hacks and/or inside jobs."
a7,Bitcoin,Bitcoin Saving and Trust,"700,000 BTC",9100000,2012-08-17,Ponzi scheme,https://www.theguardian.com/technology/2014/mar/18/history-of-bitcoin-hacks-alternative-currency,,,,,,,A history of bitcoin hacks,"The alternative currency has been plagued by hacks, ponzi schemes and increasingly professional thefts since 2011, explains Alex Hern"
a8,Bitcoin,Bitfloor,24086 BTC,250000,2012-09-04,Hack,http://www.bbc.com/news/technology-19486695,,,,,,,Bitcoin theft causes Bitfloor exchange to go offline,"One of the biggest Bitcoin currency exchanges has been taken offline after 24,000 units ($250,000; £157,800) of the virtual currency were stolen from its computer servers."
a9,Bitcoin,Inputs.io,4100 BTC,1000000,2013-10-26,Hack,https://www.theguardian.com/technology/2013/nov/08/hackers-steal-1m-from-bitcoin-tradefortress-site,,,,,,,Bitcoin site Inputs.io loses £1m after hackers strike twice,"Inputs.io, run by a developer known as TradeFortress, waits two weeks to report loss of 4,100 Bitcoins in two separate hacks to its customers"
a10,Bitcoin,Picostocks,6000 BTC,500000,2013-11-29,Hack,https://www.theguardian.com/technology/2014/mar/18/history-of-bitcoin-hacks-alternative-currency,,,,,,,A history of bitcoin hacks,"The alternative currency has been plagued by hacks, ponzi schemes and increasingly professional thefts since 2011, explains Alex Hern"
